code_commune,id_question,libelle,definition
35281,35,Comment suivre en temps réel le caractère exceptionnel des cumuls de pluies à Saint-Jacques-de-la-Lande&#8239;?,NULL
35047,50,Y a-t-il des écoquartiers à Bruz&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35081,50,Y a-t-il des écoquartiers à Clayes&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35136,50,Y a-t-il des écoquartiers à Janzé&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35352,50,Y a-t-il des écoquartiers à Vern-sur-Seiche&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35278,50,Y a-t-il des écoquartiers à Saint-Grégoire&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35080,50,Y a-t-il des écoquartiers à Cintré&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35180,50,Y a-t-il des écoquartiers à Miniac-sous-Bécherel&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35363,50,Y a-t-il des écoquartiers à Pont-Péan&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35032,50,Y a-t-il des écoquartiers à Bourgbarré&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35051,50,Y a-t-il des écoquartiers à Cesson-Sévigné&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
