nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,opérateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme juridique_beneficiaire,code_commune,nom_commune
Recyclage de la friche située au 72 rue Chateaubriand,Néotoa a racheté une maison inoccupée et le terrain attenant. Le projet comprend la démolition de  cette maison ancienne et énergivore et la construction d'un collectif de 22 logements en accession social PSLA sur sous-sol à proximité du centre de Dinan. ,50000.00,16767853,2104416418,,,Recyclage foncier,Bretagne,Côtes-d'Armor,22,34749837000027,NEOTOA,Établissement public local à caractère industriel ou commercial,35238,Rennes
Réhabilitation du quartier gare de Tréflez / élaboration d'un Plan de Conception de Travaux et mise à jour du plan de gestion,"La Commune souhaite réaménager le secteur Gare, pour revitaliser ce quartier, très fréquenté et animé autrefois, constituant une des portes d'entrée du bourg. Le projet vise à accueillir des commerces et des logements et à réaménager les espaces publics autour de la place.

La friche acquise par l'EPF est constituée d'un ancien bar, d'une station-service et d'un commerce fermé en 2020. Après déconstruction, le bailleur social Finistère Habitat prévoit la création de 11 logements locatifs sociaux et des cellules commerciales.

La présente demande porte sur le financement de l'élaboration d'un Plan de Conception de Travaux et mise à jour du plan de gestion (version initiale en cours de rédaction).
Une demande d'aide est envisagée en 2025 par la commune sur le volet travaux, en fonction des résultats des études en cours.",44551.00,16893580,2104544079,,,Recyclage foncier,Bretagne,Finistère,29,51418579200033,ETABLISSEMENT PUBLIC FONCIER BRETAGNE,Établissement public national à caractère industriel ou commercial doté d'un comptable public,35238,Rennes
TRANSFORMATION DU SITE DE L’ANCIENNE STATION EXPERIMENTALE PORCINE DE GUERNEVEZ EN NOUVELLE STATION EXPERIMENTALE LAITIERE A NEUTRALITE CLIMATIQUE,"La chambre d'agriculture du Finistère démolit les bâtiments présents sur son site de Guernévez actuellement devenu une friche agricole (anciennes porcheries et hangars) après désamiantage pour y construire les nouveaux bâtiments expérimentaux de sa
station expérimentale laitière à neutralité climatique et renaturer certaines zones.
Ce dossier complète le dossier Fonds vert numéro 13498184 déposé le 27 juillet 2023 et accepté mais dont la subvention a été bloquée à 200000 € en attente d'une expertise indépendante sur l'application des seuils d'aides d'Etat. cette expertise ayant démontrée la non soumission du projet aux aides d'Etat, une nouvelle demande est déposée pour demander le complément d'aide sur le projet.",290000.00,16735209,2104204519,,,Recyclage foncier,Bretagne,Finistère,29,13003149500018,CHAMBRE D'AGRICULTURE DE REGION BRETAGNE,Organisme consulaire,35238,Rennes
Electrification des quais de réparation navale du Port de Brest,"Le port de Brest met en œuvre un plan de décarbonation des activités sises sur le port. La connexion électrique des navires à quai est un des leviers retenu, car il constitue un moyen efficace de réduire les émissions de Co2 et de particules nocives, en évitant l’usage à quai des moteurs auxiliaires des navires. 

Le scénario de déploiement de l’électricité à quai repose sur la stratégie suivante :   
     - Phase 1 : Augmentation de la puissance électrique disponible sur le port de 20 MW à 42 MW ; 
(préalable nécessaire pour disposer de la puissance électrique suffisante pour répondre aux besoins des navires) 
     - Phase 2 : Développement de l’alimentation basse tension (BT) des navires sur les formes de radoub 2 et 3 ainsi que les quais de réparation (QR) navale 1 et 4 ; 
     - Phase 3 : Développement de l’alimentation haute tension des navires sur les formes de radoub 2 et 3 ainsi que les QR 1 et 4 ; 
     - Phase 4 : Travail avec les armateurs volontaires ayant des navires basés à Brest. 

La réalisation des différentes phases de ce projet se fera sur une période d'environ 5 ans.",800000.00,19973657,2104588997,,,Accompagnement du déploiement des zones à faibles émissions mobilité (ZFE),Bretagne,Finistère,29,23350001600040,REGION BRETAGNE,Région,35238,Rennes
Rénovation de éclairage public - Points lumineux rattachés à l'armoire A01 (Diverses rues),"Le projet concerne la rénovation de l'éclairage public pour la commune de LALLEU sur diverses rues : dépose de 41 luminaires vétustes et remplacement par 41 luminaires led.
Ce projet n'intègre pas de réduction de la durée d'éclairage, ce travail de sobriété ayant déjà été réalisé préalablement lors d'échanges entre la commune et le SDE35. De même, la DSFLI actuelle n'étant pas connue, il n'est pas possible de calculer la réduction de cette donnée. Cependant, le DSFLI de cette opération est de 28,30 lm/m2 ce qui représente, grâce à la LED, en moyenne 50% d'économie par rapport aux lampes à sodium déposées.",11271.00,16606851,2104519680,,,Rénovation des parcs de luminaires d’éclairage public,Bretagne,Ille-et-Vilaine,35,20005042500012,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,Syndicat mixte fermé,35334,Thorigné-Fouillard
Rénovation de éclairage public - Points lumineux rattachés à l'armoire A01 (Diverses rues),"Le projet concerne la rénovation de l'éclairage public pour la commune de BROUALAN sur l'ensemble des rues : dépose de 38 luminaires vétustes et remplacement par 38 luminaires led.
Ce projet n'intègre pas de réduction de la durée d'éclairage, ce travail de sobriété ayant déjà été réalisé préalablement lors d'échanges entre la commune et le SDE35. De même, la DSFLI actuelle n'étant pas connue, il n'est pas possible de calculer la réduction de cette donnée. Cependant, le DSFLI de cette opération est de 28,30 lm/m2 ce qui représente, grâce à la LED, en moyenne 50% d'économie par rapport aux lampes à sodium déposées.",4883.00,16607878,2104410712,,,Rénovation des parcs de luminaires d’éclairage public,Bretagne,Ille-et-Vilaine,35,20005042500012,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,Syndicat mixte fermé,35334,Thorigné-Fouillard
Rénovation de éclairage public - Points lumineux rattachés aux armoires A01 et A02 (Diverses rues),"Le projet concerne la rénovation de l'éclairage public pour la commune de SAINT JUST sur diverses rues : dépose de 77 luminaires vétustes et remplacement par 77 luminaires led.
Ce projet n'intègre pas de réduction de la durée d'éclairage, ce travail de sobriété ayant déjà été réalisé préalablement lors d'échanges entre la commune et le SDE35. De même, la DSFLI actuelle n'étant pas connue, il n'est pas possible de calculer la réduction de cette donnée. Cependant, le DSFLI de cette opération est de 28,30 lm/m2 ce qui représente, grâce à la LED, en moyenne 50% d'économie par rapport aux lampes à sodium déposées.",46666.00,16607281,2104519737,,,Rénovation des parcs de luminaires d’éclairage public,Bretagne,Ille-et-Vilaine,35,20005042500012,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,Syndicat mixte fermé,35334,Thorigné-Fouillard
Renovation globale de tous les points lumineux de la commune ,"Le projet concerne la rénovation globale de tous les points lumineux vétustes de la commune de MONTREUIL DES LANDES sur diverses rues : dépose de 42 luminaires vétustes et remplacement par 42 luminaires led.
Ce projet n'intègre pas de réduction de la durée d'éclairage, ce travail de sobriété ayant déjà été réalisé préalablement lors d'échanges entre la commune et le SDE35. De même, la DSFLI actuelle n'étant pas connue, il n'est pas possible de calculer la réduction de cette donnée. Cependant, le DSFLI de cette opération est de 28,30 lm/m2 ce qui représente, grâce à la LED, en moyenne 50% d'économie par rapport aux lampes à sodium déposées.",24012.00,18388508,2104416247,,,Rénovation des parcs de luminaires d’éclairage public,Bretagne,Ille-et-Vilaine,35,20005042500012,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,Syndicat mixte fermé,35334,Thorigné-Fouillard
Points lumineux rattachés aux armoires A02 et A04 (Diverses rues),"Le projet concerne la rénovation de l'éclairage public pour la commune de THOURIE sur diverses rues : dépose de 117 luminaires vétustes et remplacement par 117 luminaires led.
Ce projet n'intègre pas de réduction de la durée d'éclairage, ce travail de sobriété ayant déjà été réalisé préalablement lors d'échanges entre la commune et le SDE35. De même, la DSFLI actuelle n'étant pas connue, il n'est pas possible de calculer la réduction de cette donnée. Cependant, le DSFLI de cette opération est de 28,30 lm/m2 ce qui représente, grâce à la LED, en moyenne 50% d'économie par rapport aux lampes à sodium déposées.",21395.00,16606192,2104519744,,,Rénovation des parcs de luminaires d’éclairage public,Bretagne,Ille-et-Vilaine,35,20005042500012,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,Syndicat mixte fermé,35334,Thorigné-Fouillard
Rénovation globale de tous les points lumineux de la commune ,"Le projet concerne la rénovation globale de tous les points lumineux vétustes de la commune de CARDROC sur diverses rues : dépose de 101 luminaires vétustes et remplacement par 101 luminaires led.
Ce projet n'intègre pas de réduction de la durée d'éclairage, ce travail de sobriété ayant déjà été réalisé préalablement lors d'échanges entre la commune et le SDE35. De même, la DSFLI actuelle n'étant pas connue, il n'est pas possible de calculer la réduction de cette donnée. Cependant, le DSFLI de cette opération est de 28,30 lm/m2 ce qui représente, grâce à la LED, en moyenne 50% d'économie par rapport aux lampes à sodium déposées.",45047.00,16615256,2104416242,,,Rénovation des parcs de luminaires d’éclairage public,Bretagne,Ille-et-Vilaine,35,20005042500012,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,Syndicat mixte fermé,35334,Thorigné-Fouillard
"Points lumineux rattachés aux armoires A07, A08 et A10 (Diverses rues)","Le projet concerne la rénovation de l'éclairage public pour la commune de MONT DOL sur diverses rues : dépose de 71 luminaires vétustes et remplacement par 71 luminaires led.
Ce projet n'intègre pas de réduction de la durée d'éclairage, ce travail de sobriété ayant déjà été réalisé préalablement lors d'échanges entre la commune et le SDE35. De même, la DSFLI actuelle n'étant pas connue, il n'est pas possible de calculer la réduction de cette donnée. Cependant, le DSFLI de cette opération est de 28,30 lm/m2 ce qui représente, grâce à la LED, en moyenne 50% d'économie par rapport aux lampes à sodium déposées.",7885.00,16608798,2104598696,,,Rénovation des parcs de luminaires d’éclairage public,Bretagne,Ille-et-Vilaine,35,20005042500012,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,Syndicat mixte fermé,35334,Thorigné-Fouillard
Rénovation globale de tous les points lumineux de la commune ,"Le projet concerne la rénovation globale de tous les points lumineux vétustes de la commune de MOULINS sur diverses rues : dépose de 111 luminaires vétustes et remplacement par 111 luminaires led.
Ce projet n'intègre pas de réduction de la durée d'éclairage, ce travail de sobriété ayant déjà été réalisé préalablement lors d'échanges entre la commune et le SDE35. De même, la DSFLI actuelle n'étant pas connue, il n'est pas possible de calculer la réduction de cette donnée. Cependant, le DSFLI de cette opération est de 28,30 lm/m2 ce qui représente, grâce à la LED, en moyenne 50% d'économie par rapport aux lampes à sodium déposées.",57834.00,18445133,2104416249,,,Rénovation des parcs de luminaires d’éclairage public,Bretagne,Ille-et-Vilaine,35,20005042500012,SYNDICAT DEPARTEMENTAL D'ENERGIE 35,Syndicat mixte fermé,35334,Thorigné-Fouillard
ZAC Centre - Fontaine Blanche - Bétuaudais,"La ZAC Centre – Fontaine Blanche – Bétuaudais se trouve à Pont-Péan. Ce territoire, auparavant hameau de Saint-Erblon, est issu de la présence d'une ancienne mine de plomb. Afin de contribuer à la production de logements du territoire, la commune lance un nouveau projet d’urbanisation sur 3 secteurs.
Le secteur Centre doit accueillir 262 logements sur environ 3ha. Il représente la polarité commerciale, que le projet conforte par la densification et le renouvellement d’un habitat et d’espaces publics vieillissants.
Le secteur Fontaine Blanche doit accueillir 75 logements sur environ 2ha, en densifiant l’habitat des dents creuses de cette entrée de ville. 
Le secteur Bétuaudais doit accueillir 280 logements sur environ 14ha (yc zones inconstructibles), afin d'assurer une continuité entre le centre-bourg et les services installés sur le plateau de la mine de plomb, tout en revalorisant ce foncier pollué du fait des anciennes activités minières.",610890.00,16836896,2104468370,,,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,52318955300010,TERRITOIRES PUBLICS,SA à conseil d'administration (s.a.i.),35238,Rennes
"Reconversion de l'ancien technicentre SNCF Pierre Martin, situé rue Pierre Martin","La reconversion de l'ancien technicentre SNCF Pierre Martin, aujourd'hui friche industrielle, consiste en la réinsertion de ce site de 8 ha (y compris le secteur Quineleu) dans le tissu urbain de la ville de Rennes. Ce site est vu comme une extension du centre-ville de Rennes avec toutes les fonctions que cela signifie : logements, équipements et espaces publics, commerces, lieu de destination...

La collectivité souhaite orienter la programmation urbaine vers les ICC (Industries Culturelles et Créatives) et plus particulièrement vers le thème de l'image animée. Le technicentre sera à terme une vitrine de cette spécificité culturelle et économique rennaise et bretonne.

La dynamique urbaine sera initiée par l'installation du Grand Huit autour des arts forains. Ce projet prendra place dès 2024 dans 4 des halles patrimoniales pour une phase expérimentale de 18 mois avant une occupation pérenne. Un second lieu plus modeste sera initié dans bâtisses du 19 rue Quineleu.
",218128.00,16796980,2104546010,,,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,52318955300010,TERRITOIRES PUBLICS,SA à conseil d'administration (s.a.i.),35238,Rennes
Réhabilitation de l'ancienne sous-préfecture de Saint Malo ,"Le projet porte sur la réhabilitation de l’ancien bâtiment de la Sous-Préfecture de Saint Malo, située intra-muros, afin d'y construire 12 logements (7T1 / 3T2 / 1T3 / 1T4) et une salle commune destinée aux résidents. L'offre est destinée à un public de jeunes travailleurs et de personnes en situation de handicap. Ce projet permettra d'offrir un accès au logement dans une zone tendue à une population fragilisée et/ou fortement recherchée sur le territoire (notamment pour le travail saisonnier). ",500000.00,18062172,2104532198,,,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,34749837000027,NEOTOA,Établissement public local à caractère industriel ou commercial,35238,Rennes
LAILLE - Centre Bourg,Projet de démolition d'anciennes maisons dont le foncier est la propriété de la commune pour la réalisation d'un projet de logements de locatifs sociaux (37 PLUS-PLAI) et de surfaces commerciales à Laillé.,153820.00,18783347,2104545941,,,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,SA de HLM à conseil d'administration,35238,Rennes
"Etudes de dépollution - Site ancien garage - Saint Ouen des
  Alleux (35)","Le projet vise la remise en état d'un ancien garage situé dans le bourg de Saint Ouen des Alleux. 
Une fois les travaux de remise en état des sols réalisés, la commune entend réaliser une opération à dominante logements. Huit logements locatifs sociaux et un logement libre sont envisagés à ce stade. ",42680.00,15865560,,2472D0135,ADEME,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,51418579200033,ETABLISSEMENT PUBLIC FONCIER BRETAGNE,Établissement public national à caractère industriel ou commercial doté d'un comptable public,35238,Rennes
"Projet d’une résidence intergénérationnelle 5, rue Thiers","Le site de l'opération date de la fin du XIXè siècle. Il était utilisé comme un lieu d'enseignement, puis des ateliers municipaux et enfin pour partie en un centre de secours et d'incendie. Il fut également construit un grand bâtiment pour le garage des véhicules de secours et des bureaux à l'étage, bâtiments dont la démolition laisse place à un parking public sauvage en raison de sa proximité immédiate aux différentes commodités (centre-ville, gare.). Les bâtiments sont désaffectés depuis 2019.
Le site est soumis à l'avis de l'Architecte des Bâtiments de France, et est également repéré en potentielle zone de protection du Patrimoine Architectural : l'ABF souhaite conserver les bâtiments existants. Dans le cadre du programme Action Cœur de ville, la collectivité a décidé de requalifier le quartier où se situe le terrain. BSB Les Foyers a proposé de réaliser une résidence intergénérationnelle 52 logements, notamment en raison de sa localisation.

",443460.00,16111828,2104574218,,,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,60920025800067,SA D'HLM LES FOYERS,SA de HLM à conseil d'administration,35238,Rennes
SEL DE BRETAGNE - ZAC DE LA VALLEE,"Le projet déposé s'inscrit dans la limitation de la consommation foncière.

L’opération n’engendrera aucune nouvelle artificialisation des sols puisque le sol était déjà complétement imperméabilisé.
Le programme se situe en plein centre-bourg de la commune du Sel-de-Bretagne à proximité d’une école primaire, de la maison
médicale ou encore de la mairie. Les futurs locataires pourront profiter de nombreux services à quelques mètres de leur résidence.

",150000.00,12586146,2104422665,,,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,30249439800035,ESPACIL HABITAT SA D'HABITATIONS A LOYER MODERE,SA de HLM à conseil d'administration,35238,Rennes
Opération 117 avenue Gros Malhon,"La reconversion urbaine de cette friche industrielle s'inscrit dans le projet urbain métropolitain ZA Nord - Coteaux de l'Ille qui vise à recomposer la Ville sur elle-même dans une logique de diversification des fonctions urbaines et de densification du foncier. L'opération prend place sur un site stratégique au cœur du futur nouveau quartier résidentiel Donelière - Gros Malhon. Desservie par la future ligne de Trambus et à proximité immédiate de la centralité de quartier à constituer, la valorisation de ce site industriel, avec une programmation de 135 logements et 7500 m² de locaux artisanaux, constituera le premier acte fort de la transformation urbaine de ce morceau de Ville. Cette opération de renouvellement urbain s'inscrit pleinement dans la démarche   ""ZAN"" et la stratégie nationale bas carbone. Au delà de l'ambition environnementale forte, l'opération répond également à l'objectif prioritaire de production de logement du PLH de Rennes Métropole. ",1000000.00,19586895,2104579080,,,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
